x=1.44531, y=0.0390625, f=1
x=1.44531, y=0.117188, f=1
x=1.52344, y=0.0390625, f=1
x=1.52344, y=0.117188, f=1
x=1.44531, y=0.195312, f=1
x=1.44531, y=0.273438, f=1
x=1.52344, y=0.195312, f=1
x=1.52344, y=0.273438, f=1
x=1.28906, y=0.351562, f=1
x=1.28906, y=0.429688, f=1
x=1.36719, y=0.351562, f=1
x=1.36719, y=0.429688, f=1
x=1.28906, y=0.507812, f=1
x=1.28906, y=0.585938, f=1
x=1.36719, y=0.507812, f=1
x=1.36719, y=0.585938, f=1
x=1.44531, y=0.351562, f=1
x=1.44531, y=0.429688, f=1
x=1.52344, y=0.351562, f=1
x=1.52344, y=0.429688, f=1
x=1.44531, y=0.507812, f=1
x=1.44531, y=0.585938, f=1
x=1.52344, y=0.507812, f=1
x=1.52344, y=0.585938, f=1
x=1.60156, y=0.0390625, f=1
x=1.60156, y=0.117188, f=1
x=1.67969, y=0.0390625, f=1
x=1.67969, y=0.117188, f=1
x=1.60156, y=0.195312, f=1
x=1.60156, y=0.273438, f=1
x=1.67969, y=0.195312, f=1
x=1.67969, y=0.273438, f=1
x=1.75781, y=0.0390625, f=1
x=1.75781, y=0.117188, f=1
x=1.83594, y=0.0390625, f=1
x=1.83594, y=0.117188, f=1
x=1.75781, y=0.195312, f=1
x=1.75781, y=0.273438, f=1
x=1.83594, y=0.195312, f=1
x=1.83594, y=0.273438, f=1
x=1.60156, y=0.351562, f=1
x=1.60156, y=0.429688, f=1
x=1.67969, y=0.351562, f=1
x=1.67969, y=0.429688, f=1
x=1.60156, y=0.507812, f=1
x=1.60156, y=0.585938, f=1
x=1.67969, y=0.507812, f=1
x=1.67969, y=0.585938, f=1
x=1.75781, y=0.351562, f=1
x=1.75781, y=0.429688, f=1
x=1.83594, y=0.351562, f=1
x=1.83594, y=0.429688, f=1
x=1.75781, y=0.507812, f=1
x=1.75781, y=0.585938, f=1
x=1.83594, y=0.507812, f=1
x=1.83594, y=0.585938, f=1
x=1.28906, y=0.664062, f=1
x=1.28906, y=0.742188, f=1
x=1.36719, y=0.664062, f=1
x=1.36719, y=0.742188, f=1
x=1.28906, y=0.820312, f=1
x=1.28906, y=0.898438, f=1
x=1.36719, y=0.820312, f=1
x=1.36719, y=0.898438, f=1
x=1.44531, y=0.664062, f=1
x=1.44531, y=0.742188, f=1
x=1.52344, y=0.664062, f=1
x=1.52344, y=0.742188, f=1
x=1.44531, y=0.820312, f=1
x=1.44531, y=0.898438, f=1
x=1.52344, y=0.820312, f=1
x=1.52344, y=0.898438, f=1
x=1.28906, y=0.976562, f=1
x=1.28906, y=1.05469, f=1
x=1.36719, y=0.976562, f=1
x=1.36719, y=1.05469, f=1
x=1.28906, y=1.13281, f=1
x=1.28906, y=1.21094, f=1
x=1.36719, y=1.13281, f=1
x=1.36719, y=1.21094, f=1
x=1.44531, y=0.976562, f=1
x=1.44531, y=1.05469, f=1
x=1.52344, y=0.976562, f=1
x=1.52344, y=1.05469, f=1
x=1.44531, y=1.13281, f=1
x=1.44531, y=1.21094, f=1
x=1.52344, y=1.13281, f=1
x=1.52344, y=1.21094, f=1
x=1.60156, y=0.664062, f=1
x=1.60156, y=0.742188, f=1
x=1.67969, y=0.664062, f=1
x=1.67969, y=0.742188, f=1
x=1.60156, y=0.820312, f=1
x=1.60156, y=0.898438, f=1
x=1.67969, y=0.820312, f=1
x=1.67969, y=0.898438, f=1
x=1.75781, y=0.664062, f=1
x=1.75781, y=0.742188, f=1
x=1.83594, y=0.664062, f=1
x=1.83594, y=0.742188, f=1
x=1.75781, y=0.820312, f=1
x=1.75781, y=0.898438, f=1
x=1.83594, y=0.820312, f=1
x=1.83594, y=0.898438, f=1
x=1.60156, y=0.976562, f=1
x=1.60156, y=1.05469, f=1
x=1.67969, y=0.976562, f=1
x=1.67969, y=1.05469, f=1
x=1.60156, y=1.13281, f=1
x=1.60156, y=1.21094, f=1
x=1.67969, y=1.13281, f=1
x=1.67969, y=1.21094, f=1
x=1.75781, y=0.976562, f=1
x=1.75781, y=1.05469, f=1
x=1.83594, y=0.976562, f=1
x=1.83594, y=1.05469, f=1
x=1.75781, y=1.13281, f=1
x=1.75781, y=1.21094, f=1
x=1.83594, y=1.13281, f=1
x=1.83594, y=1.21094, f=1
x=1.91406, y=0.0390625, f=1
x=1.91406, y=0.117188, f=1
x=1.99219, y=0.0390625, f=1
x=1.99219, y=0.117188, f=1
x=1.91406, y=0.195312, f=1
x=1.91406, y=0.273438, f=1
x=1.99219, y=0.195312, f=1
x=1.99219, y=0.273438, f=1
x=2.07031, y=0.0390625, f=1
x=2.07031, y=0.117188, f=1
x=2.14844, y=0.0390625, f=1
x=2.14844, y=0.117188, f=1
x=2.07031, y=0.195312, f=1
x=2.07031, y=0.273438, f=1
x=2.14844, y=0.195312, f=1
x=2.14844, y=0.273438, f=1
